Manufacturer,Model,Category,Fuel type,Gear box type,Drive wheels,Doors,Wheel,Color,Leather interior,Manufacturer_cleaned,Model_cleaned,Category_cleaned,Fuel type_cleaned,Gear box type_cleaned,Drive wheels_cleaned,Doors_cleaned,Wheel_cleaned,Color_cleaned,Leather interior_cleaned,Manufacturer_scaled,Model_scaled,Category_scaled,Fuel type_scaled,Gear box type_scaled,Drive wheels_scaled,Doors_scaled,Wheel_scaled,Color_scaled,Leather interior_scaled,Levy,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Levy_cleaned,Prod. year_cleaned,Engine volume_cleaned,isTurbo,Mileage_cleaned,Cylinders_cleaned,Airbags_cleaned,Levy_scaled,Prod. year_scaled,Engine volume_scaled,Mileage_scaled,Cylinders_scaled,Airbags_scaled,Price
LEXUS,RX 450,Jeep,Hybrid,Automatic,4x4,04-May,Left wheel,Silver,Yes,LEXUS,RX 450,JEEP,HYBRID,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,YES,19295.3661710,9980.3011905,23520.2505712,10903.2491977,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,1399,2010,3.5,186005 km,6.0000000,12,1399,2010,3.5000000,0,186005,6.0000000,12,0.1194297,0.8765432,0.1750000,0.0000866,0.3333333,0.7500000,13328
CHEVROLET,Equinox,Jeep,Petrol,Tiptronic,4x4,04-May,Left wheel,Black,No,CHEVROLET,EQUINOX,JEEP,PETROL,TIPTRONIC,4X4,4,LEFT WHEEL,BLACK,NO,15631.2040472,14194.6579934,23520.2505712,17162.3155529,25387.1017835,18911.5534039,17089.9312887,20737.4846683,18086.8626653,23533.4518021,1018,2011,3,192000 km,6.0000000,8,1018,2011,3.0000000,0,192000,6.0000000,8,0.0869046,0.8888889,0.1500000,0.0000894,0.3333333,0.5000000,16621
HONDA,FIT,Hatchback,Petrol,Variator,Front,04-May,Right-hand drive,Black,No,HONDA,FIT,HATCHBACK,PETROL,VARIATOR,FRONT,4,RIGHT-HAND DRIVE,BLACK,NO,14390.6988168,11780.7836977,11346.8436235,17162.3155529,15129.3860444,20599.3767854,17089.9312887,8945.6475385,18086.8626653,23533.4518021,-,2006,1.3,200000 km,4.0000000,2,0,2006,1.3000000,0,200000,4.0000000,2,0.0000000,0.8271605,0.0650000,0.0000931,0.2000000,0.1250000,8467
FORD,Escape,Jeep,Hybrid,Automatic,4x4,04-May,Left wheel,White,Yes,FORD,ESCAPE,JEEP,HYBRID,AUTOMATIC,4X4,4,LEFT WHEEL,WHITE,YES,16689.1262008,9893.3384879,23520.2505712,10903.2491977,16011.0486705,18911.5534039,17089.9312887,20737.4846683,18498.8401849,18478.9556784,862,2011,2.5,168966 km,4.0000000,0,862,2011,2.5000000,0,168966,4.0000000,0,0.0735872,0.8888889,0.1250000,0.0000787,0.2000000,0.0000000,3607
HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,Left wheel,Silver,Yes,HONDA,FIT,HATCHBACK,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,SILVER,YES,14390.6988168,11780.7836977,11346.8436235,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,15333.5653059,18478.9556784,446,2014,1.3,91901 km,4.0000000,4,446,2014,1.3000000,0,91901,4.0000000,4,0.0380741,0.9259259,0.0650000,0.0000428,0.2000000,0.2500000,11726
HYUNDAI,Santa FE,Jeep,Diesel,Automatic,Front,04-May,Left wheel,White,Yes,HYUNDAI,SANTA FE,JEEP,DIESEL,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,21956.5739967,39004.0629882,23520.2505712,36298.9310787,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,891,2016,2,160931 km,4.0000000,4,891,2016,2.0000000,0,160931,4.0000000,4,0.0760628,0.9506173,0.1000000,0.0000749,0.2000000,0.2500000,39493
TOYOTA,Prius,Hatchback,Hybrid,Automatic,Front,04-May,Left wheel,White,Yes,TOYOTA,PRIUS,HATCHBACK,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,WHITE,YES,14378.2583811,11460.6154719,11346.8436235,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18498.8401849,18478.9556784,761,2010,1.8,258909 km,4.0000000,12,761,2010,1.8000000,0,258909,4.0000000,12,0.0649650,0.8765432,0.0900000,0.0001206,0.2000000,0.7500000,1803
HYUNDAI,Sonata,Sedan,Petrol,Automatic,Front,04-May,Left wheel,Grey,Yes,HYUNDAI,SONATA,SEDAN,PETROL,AUTOMATIC,FRONT,4,LEFT WHEEL,GREY,YES,21956.5739967,13621.9359885,14159.5858168,17162.3155529,16011.0486705,20599.3767854,17089.9312887,20737.4846683,19423.6326880,18478.9556784,751,2013,2.4,216118 km,4.0000000,12,751,2013,2.4000000,0,216118,4.0000000,12,0.0641113,0.9135802,0.1200000,0.0001006,0.2000000,0.7500000,549
TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Left wheel,Black,Yes,TOYOTA,CAMRY,SEDAN,HYBRID,AUTOMATIC,FRONT,4,LEFT WHEEL,BLACK,YES,14378.2583811,12742.1087257,14159.5858168,10903.2491977,16011.0486705,20599.3767854,17089.9312887,20737.4846683,18086.8626653,18478.9556784,394,2014,2.5,398069 km,4.0000000,12,394,2014,2.5000000,0,398069,4.0000000,12,0.0336350,0.9259259,0.1250000,0.0001854,0.2000000,0.7500000,1098
LEXUS,RX 350,Jeep,Petrol,Automatic,4x4,04-May,Left wheel,Silver,Yes,LEXUS,RX 350,JEEP,PETROL,AUTOMATIC,4X4,4,LEFT WHEEL,SILVER,YES,19295.3661710,18222.8166862,23520.2505712,17162.3155529,16011.0486705,18911.5534039,17089.9312887,20737.4846683,15333.5653059,18478.9556784,-,2007,3.5,128500 km,6.0000000,12,0,2007,3.5000000,0,128500,6.0000000,12,0.0000000,0.8395062,0.1750000,0.0000598,0.3333333,0.7500000,26657
